category,counts,price
การงาน,965,7208805
การเงิน,529,3780331
การเรียน,501,2745280
ความมั่นคง,344,504128
ความรัก,437,3277852
ความเครียด,732,6833091
ชีวิตอุปสรรค,775,5216627
ประมาท,704,6624180
ปัญหาด้านความรัก,483,2948211
ปัญหาด้านสุขภาพ,452,2391498
มีปัญหาด้านการเงิน,688,4342794
